nro,residencia_departamento_nombre,pob  
1,La Matanza,1772130
2,La Plata,649613
3,General Pueyrredón,614350
4,Lomas de Zamora,613192
5,Quilmes,580829
6,Almirante Brown,555731
7,Merlo,524207
8,Moreno,462242
9,Lanús,453500
10,Florencio Varela,423992
11,General San Martín,422830
12,Tigre,380709
13,Tres de Febrero,343774
14,Avellaneda,340985
15,Malvinas Argentinas,321833
16,Berazategui,320224
17,Morón,319934
18,Bahía Blanca,301531
19,Esteban Echeverría,298814
20,Pilar,298191
21,San Isidro,291608
22,San Miguel,276190
23,Vicente López,270929
24,José C. Paz,263094
25,Escobar,210084
26,Hurlingham,176505
27,Ituzaingó,168419
28,Ezeiza,163722
29,San Fernando,163462
30,San Nicolás,145821
31,Tandil,123343
32,Zárate,111597
33,Olavarría,111320
34,Luján,106899
35,Pergamino,104922
36,Campana,94333
37,Necochea,92933
38,Junín,90305
39,Berisso,88123
40,General Rodríguez,87491
41,Presidente Perón,81147
42,La Costa,70214
43,Azul,65174
44,Chivilcoy,64148
45,Mercedes,62807
46,Coronel de Marina L. Rosales,61651
47,San Vicente,59708
48,San Pedro,59247
49,Tres Arroyos,58179
50,Ensenada,55629
51,Marcos Paz,53462
52,Cañuelas,50526
53,Chacabuco,48703
54,9 de Julio,47733
55,Balcarce,44064
56,Trenque Lauquen,42806
57,Chascomús,42558
58,Lincoln,42505
59,Bragado,40320
60,Pehuajó,39659
61,General Alvarado,39594
62,Coronel Suárez,37776
63,Lobos,36416
64,25 de Mayo,36090
65,Bolívar,34058
66,Ramallo,32956
67,Baradero,32921
68,Salto,32628
69,Saladillo,32065
70,Villa Gesell,31353
71,General Villegas,30916
72,Patagones,30806
73,Villarino,30745
74,Exaltación de la Cruz,29729
75,Arrecifes,29027
76,Dolores,26601
77,Brandsen,26352
78,Pinamar,25415
79,Colón,24875
80,Las Flores,23875
81,Rojas,23452
82,San Antonio de Areco,23138
83,Coronel Pringles,22898
84,San Andrés de Giles,22257
85,Carlos Casares,22076
86,Mar Chiquita,21348
87,Monte,21025
88,Saavedra,20773
89,Benito Juárez,20402
90,Ayacucho,19983
91,General Juan Madariaga,19726
92,Magdalena,19171
93,General Viamonte,18074
94,General Belgrano,17352
95,Lobería,17297
96,Rivadavia,17169
97,Navarro,17042
98,Adolfo Alsina,16846
99,Daireaux,16804
100,Leandro N. Alem,16774
101,Coronel Dorrego,15826
102,Puán,15603
103,Capitán Sarmiento,15322
104,Rauch,15061
105,General Las Heras,14889
106,General Arenales,14855
107,Carmen de Areco,14746
108,Tornquist,12676
109,Roque Pérez,12557
110,Adolfo Gonzales Chaves,12029
111,Carlos Tejedor,11490
112,General Pinto,11356
113,Guaminí,11310
114,General Paz,11160
115,General Alvear,11013
116,General La Madrid,10747
117,Alberti,10583
118,Laprida,10188
119,Maipú,10172
120,Suipacha,9997
121,Punta Indio,9637
122,Hipólito Yrigoyen,9485
123,Tapalqué,9166
124,Florentino Ameghino,8880
125,Tres Lomas,8712
126,Salliqueló,8573
127,San Cayetano,8380
128,Castelli,8206
129,Monte Hermoso,6494
130,Pellegrini,5867
131,General Lavalle,3645
132,Pila,3613
133,General Guido,2814
134,Tordillo,1819
