Partido,2016,2017,2018,2019,2020,2021 
Adolfo Alsina,17382,17407,17433,17458,17483,17507
Adolfo Gonzales Chaves,12016,11992,11968,11944,11922,11899
Alberti, 10900,10924,10948,10972,10995,11018
Almirante Brown,582541,586564,590418,594270,597969,601618
Arrecifes,30532,30735,30936,31133,31328,31520
Avellaneda,352246,353273,354314,355352,356392,357440
Ayacucho,20990,21067,21143,21218,21291,21364
Azul,66965,67144,67321,67495,67667,67835
Bahía Blanca,307836,308413,308982,309544,310095,310639
Balcarce,45116,45262,45408,45551,45691,45829
Baradero,35045,35375,35701,36022,36338,36649
Benito Juárez,20493,20503,20513,20523,20532,20542
Berazategui,350578,354447,358262,362021,365771,369294
Berisso,93773,94522,95259,95987,96701,97406
Bolívar,35393,35540,35684,35828,35969,36108
Bragado,41978,42020,42062,42103,42144,42184
Brandsen,29279,29725,30164,30597,31023,31442
Campana,101518,102549,103565,104566,105552,106522
Cañuelas,58752,59817,60867,61903,62921,63923
Capitán Sarmiento,15692,15869,16044,16216,16387,16553
Carlos Casares,23206,23334,23459,23583,23704,23824
Carlos Tejedor,11674,11673,11672,11671,11671,11669
Carmen de Areco,15271,15345,15418,15489,15560,15629
Castelli,8517,8556,8595,8633,8671,8708
Chacabuco,51263,51615,51962,52304,52640,52971
Chascomús,39068,39417,39760,40100,40434,40762
Chivilcoy,66976,67343,67705,68062,68412,68758
Colón,26305,26503,26697,26889,27078,27264
Coronel de Marina L. Rosales, 63203,63281,63358,63433,63508,63581
Coronel Dorrego,15511,15435,15359,15285,15212,15141
Coronel Pringles,22561,22463,22368,22273,22180,22089
Coronel Suárez,39673,39838,40001,40162,40320,40474
Daireaux,17747,17863,17979,18093,18204,18314
Dolores,28152,28296,28438,28576,28714,28849
Ensenada,59995,60452,60903,61346,61783,62214
Escobar,239461,243456,247385,251245,255073,258805
Esteban Echeverría,344795,351564,358342,364641,370900,377237
Exaltación de la Cruz,33991,34643,35287,35922,36545,37161
Ezeiza,197895,203292,208615,213864,219031,224228
Florencio Varela,482757,491652,500225,508671,517082,525270
Florentino Ameghino,9371,9441,9510,9578,9645,9711
General Alvarado,42494,42917,43334,43744,44149,44546
General Alvear,11385,11410,11433,11456,11480,11503
General Arenales,15054,15056,15058,15059,15061,15062
General Belgrano,18594,18773,18949,19123,19293,19461
General Guido,2872,2877,2882,2887,2892,2897
General Juan Madariaga,20938,21106,21273,21436,21596,21755
General La Madrid,10738,10713,10689,10665,10642,10619
General Las Heras,16469,16710,16948,17182,17412,17639
General Lavalle,4172,4246,4318,4389,4459,4528
General Paz,11583,11629,11674,11719,11763,11806
General Pinto,11452,11467,11481,11494,11508,11521
General Pueyrredón,644055,647215,650332,653406,656456,659462
General Rodríguez,101116,103308,105469,107599,109695,111759
General San Martín,422440,423153,423877,424567,425265,425911
General Viamonte,18556,18608,18659,18709,18758,18807
General Villegas,32451,32667,32880,33090,33297,33501
Guaminí, 12329,12394,12458,12522,12584,12646
Hipólito Yrigoyen,10029,10089,10148,10205,10262,10318
Hurlingham,189371,190447,191508,192554,193583,194597
